F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 I root         260       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_17]
1 S root         261       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_18]
1 I root         262       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_18]
1 S root         263       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_19]
1 I root         265       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_19]
1 S root         267       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_20]
1 I root         269       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_20]
1 S root         271       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_21]
1 I root         273       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_21]
1 S root         275       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_22]
1 I root         276       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_22]
1 S root         278       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_23]
1 I root         280       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_23]
1 S root         281       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_24]
1 I root         282       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_24]
1 S root         283       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_25]
1 I root         284       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_25]
1 S root         285       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_26]
1 I root         286       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_26]
1 S root         287       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_27]
1 I root         288       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_27]
1 S root         289       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_28]
1 I root         290       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_28]
1 S root         291       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_29]
1 I root         292       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_29]
1 S root         293       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_30]
1 I root         294       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_30]
1 S root         295       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_31]
1 I root         296       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_31]
1 S root         324       2  0  80   0 -     0 -      Jan04 ?        00:00:00 [scsi_eh_32]
1 I root         325       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [scsi_tmf_32]
1 I root         328       2  0  60 -20 -     0 -      Jan04 ?        00:00:02 [kworker/1:1H-kblockd]
1 I root         332       2  0  60 -20 -     0 -      Jan04 ?        00:00:03 [kworker/0:1H-kblockd]
1 S root         373       2  0  80   0 -     0 -      Jan04 ?        00:00:02 [jbd2/sda1-8]
1 I root         374       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [ext4-rsv-conver]
1 I root         390       2  0  60 -20 -     0 -      Jan04 ?        00:00:01 [kworker/3:1H-kblockd]
1 I root         408       2  0  60 -20 -     0 -      Jan04 ?        00:00:04 [kworker/2:1H-kblockd]
4 S root         420       1  0  80   0 - 15108 -      Jan04 ?        00:00:06 /lib/systemd/systemd-journald
1 I root         430       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [rpciod]
1 I root         431       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [xprtiod]
1 S root         441       1  0  80   0 - 37618 -      Jan04 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
4 S root         453       1  0  80   0 -  6041 -      Jan04 ?        00:00:01 /lib/systemd/systemd-udevd
1 I root         610       2  0  60 -20 -     0 -      Jan04 ?        00:00:00 [kworker/u257:2-hci0]
4 S root         616       1  0  80   0 - 59112 -      Jan04 ?        00:02:46 /usr/bin/vmtoolsd
4 S root         618       1  0  80   0 -  1655 -      Jan04 ?        00:00:00 /usr/sbin/cron -f
4 S message+     619       1  0  80   0 -  2202 -      Jan04 ?        00:00:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
4 S root         620       1  0  80   0 - 63820 -      Jan04 ?        00:00:07 /usr/sbin/NetworkManager --no-daemon
4 S root         625       1  0  80   0 - 55681 -      Jan04 ?        00:00:01 /usr/sbin/rsyslogd -n -iNONE
4 S root         627       1  0  80   0 -  2737 -      Jan04 ?        00:00:00 /usr/sbin/smartd -n
4 S root         630       1  0  80   0 -  4494 -      Jan04 ?        00:00:01 /lib/systemd/systemd-logind
4 S root         659       1  0  80   0 - 78656 -      Jan04 ?        00:00:01 /usr/sbin/ModemManager
4 S root         669       1  1  80   0 - 298557 -     Jan04 ?        00:06:18 /usr/bin/containerd
4 S root         670       1  0  80   0 - 77538 -      Jan04 ?        00:00:00 /usr/sbin/lightdm
4 S root         684     670  0  80   0 - 114627 -     Jan04 tty7     00:01:38 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
4 S root         685       1  0  80   0 -  1444 -      Jan04 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear tty1 linux
4 S root         780       1  0  80   0 - 273800 -     Jan04 ?        00:00:20 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
4 S rtkit        844       1  0  81   1 - 38408 -      Jan04 ?        00:00:03 /usr/libexec/rtkit-daemon
4 S root        1084     670  0  80   0 - 40950 -      Jan04 ?        00:00:00 lightdm --session-child 14 23
4 S root        1089       1  0  80   0 -  4830 -      Jan04 ?        00:00:00 /lib/systemd/systemd --user
5 S root        1090    1089  0  80   0 - 42294 -      Jan04 ?        00:00:00 (sd-pam)
4 S root        1109    1089  0  69 -11 - 159922 -     Jan04 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no
4 S root        1111    1089  0  80   0 -  2135 -      Jan04 ?        00:00:17 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
4 S root        1118    1084  0  80   0 - 68184 -      Jan04 ?        00:00:00 xfce4-session
1 S root        1158    1118  0  80   0 -  1491 -      Jan04 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
4 S root        1168    1089  0  80   0 - 77309 -      Jan04 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
0 S root        1173    1168  0  80   0 -  2011 -      Jan04 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
4 S root        1177    1089  0  80   0 - 57491 -      Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
4 S root        1183    1089  0  80   0 - 42419 -      Jan04 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
4 S root        1189    1089  0  80   0 - 20258 -      Jan04 ?        00:00:00 /usr/bin/gpg-agent --supervised
4 S root        1191    1118  0  80   0 - 62363 -      Jan04 ?        00:00:07 xfwm4
4 S root        1194    1089  0  80   0 - 59216 -      Jan04 ?        00:00:00 /usr/libexec/gvfsd
4 S root        1199    1089  0  80   0 - 94973 -      Jan04 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/0/gvfs -f
5 S root        1207       1  0  80   0 - 58292 -      Jan04 ?        00:00:00 xfsettingsd
4 S root        1208    1118  0  80   0 - 80558 -      Jan04 ?        00:00:05 xfce4-panel
4 S root        1212       1  0  80   0 - 61726 -      Jan04 ?        00:00:00 /usr/libexec/upowerd
4 S root        1235    1118  0  80   0 - 103941 -     Jan04 ?        00:00:05 Thunar --daemon
4 S root        1240    1118  0  80   0 - 111241 -     Jan04 ?        00:00:05 xfdesktop
4 S root        1243    1208  0  80   0 - 80557 -      Jan04 ?        00:00:05 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 14680071 whiskermenu Whisker Menu Show a menu to easily access installed applications
4 S root        1247    1118  0  80   0 - 58498 -      Jan04 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
4 S root        1258    1118  0  80   0 - 198473 -     Jan04 ?        00:00:00 xiccd
4 S root        1259    1118  0  80   0 - 119632 -     Jan04 ?        00:00:02 nm-applet
4 S root        1266    1089  0  80   0 - 38969 -      Jan04 ?        00:00:00 /usr/libexec/dconf-service
5 S root        1267       1  0  80   0 - 48644 -      Jan04 ?        00:00:00 xfce4-power-manager
4 S root        1271    1118  0  80   0 - 68061 -      Jan04 ?        00:00:01 light-locker
4 S root        1276    1118  0  80   0 - 48393 -      Jan04 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
4 S root        1277    1118  0  80   0 - 129218 -     Jan04 ?        00:00:06 /usr/bin/python3 /usr/bin/blueman-applet
4 S colord      1283       1  0  80   0 - 61087 -      Jan04 ?        00:00:01 /usr/libexec/colord
4 S root        1285       1  0  80   0 - 73567 -      Jan04 ?        00:02:21 /usr/bin/vmtoolsd -n vmusr --blockFd 3
1 S root        1291       1  0  80   0 -  5199 -      Jan04 ?        00:00:00 xcape -e Super_L Control_L Escape
4 S root        1296    1089  0  80   0 - 67075 -      Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
4 S root        1316    1208  0  80   0 - 49542 -      Jan04 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 15 14680073 systray Notification Area Area where notification icons appear
4 S root        1317    1208  0  80   0 - 86467 -      Jan04 ?        00:00:01 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libstatusnotifier.so 16 14680074 statusnotifier Status Notifier Plugin Provides a panel area for status notifier items (application indicators)
4 S root        1318    1208  0  80   0 - 128740 -     Jan04 ?        00:00:58 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 17 14680075 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
4 S root        1319    1208  0  80   0 - 61306 -      Jan04 ?        00:00:01 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 18 14680076 notification-plugin Notification Plugin Notification plugin for the Xfce panel
4 S root        1320    1208  0  80   0 - 61358 -      Jan04 ?        00:00:02 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 19 14680077 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
4 S root        1321    1208  0  80   0 - 61306 -      Jan04 ?        00:00:01 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 21 14680078 actions Action Buttons Log out, lock or other system actions
