F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
1 S root         225       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_2]
1 I root         226       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_2]
1 S root         227       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_3]
1 I root         228       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_3]
1 S root         230       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_4]
1 I root         231       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_4]
1 S root         232       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_5]
1 I root         233       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [mpt_poll_0]
1 I root         234       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_5]
1 I root         235       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [mpt/0]
1 S root         236       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_6]
1 I root         237       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_6]
1 S root         238       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_7]
1 I root         239       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_7]
1 S root         240       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_8]
1 I root         241       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_8]
1 S root         242       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_9]
1 I root         243       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_9]
1 S root         244       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_10]
1 I root         245       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_10]
1 S root         246       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_11]
1 I root         247       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_11]
1 S root         248       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_12]
1 I root         249       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_12]
1 S root         250       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_13]
1 I root         251       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_13]
1 S root         252       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_14]
1 I root         253       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_14]
1 S root         254       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_15]
1 I root         255       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_15]
1 S root         256       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_16]
1 I root         257       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_16]
1 S root         258       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_17]
1 I root         259       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_17]
1 S root         260       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_18]
1 I root         261       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_18]
1 S root         262       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_19]
1 I root         263       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_19]
1 S root         264       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_20]
1 I root         265       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_20]
1 S root         266       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_21]
1 I root         267       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_21]
1 S root         268       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_22]
1 I root         269       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_22]
1 S root         270       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_23]
1 I root         271       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_23]
1 S root         272       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_24]
1 I root         273       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_24]
1 S root         274       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_25]
1 I root         275       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_25]
1 S root         276       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_26]
1 I root         277       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_26]
1 S root         278       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_27]
1 I root         279       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_27]
1 S root         280       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_28]
1 I root         281       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_28]
1 S root         282       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_29]
1 I root         283       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_29]
1 S root         284       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_30]
1 I root         285       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_30]
1 S root         286       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_31]
1 I root         287       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_31]
1 I root         314       2  0  60 -20 -     0 worker 02:52 ?        00:00:01 [kworker/1:1H-kblockd]
1 S root         315       2  0  80   0 -     0 scsi_e 02:52 ?        00:00:00 [scsi_eh_32]
1 I root         316       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [scsi_tmf_32]
1 I root         318       2  0  60 -20 -     0 worker 02:52 ?        00:00:01 [kworker/3:1H-kblockd]
1 I root         319       2  0  60 -20 -     0 worker 02:52 ?        00:00:01 [kworker/2:1H-kblockd]
1 I root         322       2  0  60 -20 -     0 worker 02:52 ?        00:00:02 [kworker/0:1H-kblockd]
1 S root         341       2  0  80   0 -     0 kjourn 02:52 ?        00:00:07 [jbd2/sda5-8]
1 I root         342       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [ext4-rsv-conver]
4 S root         381       1  0  79  -1 - 21190 ep_pol 02:52 ?        00:00:03 /lib/systemd/systemd-journald
1 S root         408       2  0   9   - -     0 irq_th 02:52 ?        00:00:04 [irq/16-vmwgfx]
1 I root         409       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [ttm_swap]
1 S root         417       2  0  60 -20 -     0 kthrea 02:52 ?        00:00:00 [loop0]
1 S root         422       2  0  60 -20 -     0 kthrea 02:52 ?        00:00:00 [loop1]
1 S root         425       2  0  60 -20 -     0 kthrea 02:52 ?        00:00:00 [loop2]
1 S root         426       2  0  60 -20 -     0 kthrea 02:52 ?        00:00:00 [loop3]
4 S root         428       1  0  80   0 -  6006 ep_pol 02:52 ?        00:00:06 /lib/systemd/systemd-udevd
1 S root         429       2  0  60 -20 -     0 kthrea 02:52 ?        00:00:00 [loop4]
1 I root         509       2  0  60 -20 -     0 rescue 02:52 ?        00:00:00 [cryptd]
1 I root         541       2  0  60 -20 -     0 worker 02:52 ?        00:00:00 [kworker/u257:1-hci0]
4 S systemd+     599       1  0  80   0 -  6089 ep_pol 02:52 ?        00:00:01 /lib/systemd/systemd-resolved
4 S root         616       1  0  80   0 - 13358 poll_s 02:52 ?        00:00:00 /usr/bin/VGAuthService
4 S root         619       1  0  80   0 - 42509 poll_s 02:52 ?        00:01:37 /usr/bin/vmtoolsd
